model,split,f1,recall,precision,fnr,fpr,mcc,training_time_s
lightgbm,random,0.9991788133853419,0.9995892380365579,0.9987687256310281,0.00041076196344218524,0.00029804778699518155,0.9989802250529202,3.56
lstm,random,0.27915661266230035,0.49897309509139454,0.19378639227885458,0.5010269049086055,0.5020863345089662,-0.0024657950237067577,499.79
lightgbm,temporal,0.0038768037906525953,0.0019422713784731588,0.972972972972973,0.9980577286215269,3.1781344350866045e-05,0.03393359123730677,3.45
lstm,temporal,0.011228489801342103,0.009117885082276773,0.014610529955909052,0.9908821149177233,0.36224376291117116,-0.4044615084583485,507.46
