strategy,f1,recall,precision,fnr,fpr,mcc,accuracy,n_retrains,retrain_time_s,total_time_s
static,0.0015996451207463218,0.000801195734137671,0.4666666666666667,0.9991988042658624,0.00043652003659065013,0.0072445356669905885,0.6771343431511271,0,0.0,131.09
periodic_5000,0.9729156300105047,0.9478145534848648,0.9993823830077238,0.052185446515135195,0.00027924443517196,0.9612194657298891,0.9829639434623753,82,24.69,155.85
periodic_10000,0.952927418616283,0.9107306366476354,0.9992243710018172,0.08926936335236453,0.0003370191458971931,0.9340840143769796,0.9709530671639682,41,12.45,143.31
drift_triggered,0.9846736097116098,0.9704432834213078,0.9993274863937325,0.029556716578692233,0.0003113414966859784,0.9777502560164453,0.9902474118800303,11,3.02,132.89
